info @storybook/react v6.1.18
info 
info => Cleaning outputDir /var/folders/77/_0gptm0s1t92tf6_ntg6t0vc0000gp/T/chromatic--94953-J6JSzDWLLpzt
info => Copying static files from: public
info => Using prebuilt manager
info => Building preview..
info => Loading preview config..
info => Loading presets
info => Loading 1 config file in "./.storybook"
info => Loading 7 other files in "./.storybook"
info => Adding stories defined in ".storybook/main.js"
info => Loading Webpack configuration from `node_modules/react-scripts`
info => Removing existing JavaScript and TypeScript rules.
info => Modifying Create React App rules.
info => Using default Webpack setup
info => Compiling preview..
<s> [webpack.Progress] 0% compiling
<s> [webpack.Progress] 10% building 0/0 modules 0 active 
<s> [webpack.Progress] 10% building 0/1 modules 1 active multi /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/@storybook/core/dist/server/common/polyfills.js /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/@storybook/core/dist/server/preview/globals.js /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/.storybook/storybook-init-framework-entry.js /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/@storybook/addon-docs/dist/frameworks/common/config.js-generated-other-entry.js /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/@storybook/addon-docs/dist/frameworks/react/config.js-generated-other-entry.js /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/@storybook/addon-links/dist/preset/addDecorator.js-generated-other-entry.js /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/@storybook/addon-actions/dist/preset/addDecorator.js-generated-other-entry.js /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/@storybook/addon-actions/dist/preset/addArgs.js-generated-other-entry.js /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/@storybook/addon-backgrounds/dist/preset/addDecorator.js-generated-other-entry.js /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/@storybook/addon-backgrounds/dist/preset/addParameter.js-generated-other-entry.js /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/.storybook/preview.js-generated-config-entry.js /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/.storybook/generated-stories-entry.js
<s> [webpack.Progress] 10% building 1/1 modules 0 active 
<s> [webpack.Progress] 68% building 690/711 modules 21 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/@emotion/hash/dist/hash.browser.esm.js
<s> [webpack.Progress] 68% building 690/712 modules 22 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/@emotion/unitless/dist/unitless.browser.esm.js
<s> [webpack.Progress] 68% building 691/712 modules 21 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/@emotion/unitless/dist/unitless.browser.esm.js
<s> [webpack.Progress] 68% building 692/712 modules 20 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/@emotion/unitless/dist/unitless.browser.esm.js
<s> [webpack.Progress] 68% building 692/713 modules 21 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/airbnb-js-shims/target/es2016.js
<s> [webpack.Progress] 68% building 693/713 modules 20 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/airbnb-js-shims/target/es2016.js
<s> [webpack.Progress] 68% building 694/713 modules 19 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/airbnb-js-shims/target/es2016.js
<s> [webpack.Progress] 68% building 694/714 modules 20 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/@emotion/stylis/dist/stylis.browser.esm.js
<s> [webpack.Progress] 68% building 695/714 modules 19 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/@emotion/stylis/dist/stylis.browser.esm.js
<s> [webpack.Progress] 68% building 696/714 modules 18 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/@emotion/stylis/dist/stylis.browser.esm.js
<s> [webpack.Progress] 68% building 697/714 modules 17 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/@emotion/stylis/dist/stylis.browser.esm.js
<s> [webpack.Progress] 68% building 698/714 modules 16 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/@emotion/stylis/dist/stylis.browser.esm.js
<s> [webpack.Progress] 68% building 699/714 modules 15 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/@emotion/stylis/dist/stylis.browser.esm.js
<s> [webpack.Progress] 68% building 700/714 modules 14 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/@emotion/stylis/dist/stylis.browser.esm.js
<s> [webpack.Progress] 68% building 701/714 modules 13 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/@emotion/stylis/dist/stylis.browser.esm.js
<s> [webpack.Progress] 68% building 702/714 modules 12 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/@emotion/stylis/dist/stylis.browser.esm.js
<s> [webpack.Progress] 69% building 703/714 modules 11 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/@emotion/stylis/dist/stylis.browser.esm.js
<s> [webpack.Progress] 69% building 704/714 modules 10 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/@emotion/stylis/dist/stylis.browser.esm.js
<s> [webpack.Progress] 69% building 705/714 modules 9 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/@emotion/stylis/dist/stylis.browser.esm.js
<s> [webpack.Progress] 69% building 706/714 modules 8 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/@emotion/stylis/dist/stylis.browser.esm.js
<s> [webpack.Progress] 69% building 707/714 modules 7 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/@emotion/stylis/dist/stylis.browser.esm.js
<s> [webpack.Progress] 69% building 708/714 modules 6 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/@emotion/stylis/dist/stylis.browser.esm.js
<s> [webpack.Progress] 69% building 708/715 modules 7 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/uuid/dist/esm-browser/v35.js
<s> [webpack.Progress] 69% building 709/715 modules 6 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/uuid/dist/esm-browser/v35.js
<s> [webpack.Progress] 69% building 710/715 modules 5 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/uuid/dist/esm-browser/v35.js
<s> [webpack.Progress] 69% building 710/716 modules 6 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/hoist-non-react-statics/node_modules/react-is/cjs/react-is.production.min.js
<s> [webpack.Progress] 69% building 710/717 modules 7 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/refractor/lang/css.js
<s> [webpack.Progress] 69% building 710/718 modules 8 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/refractor/lang/jsx.js
<s> [webpack.Progress] 69% building 710/719 modules 9 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/refractor/lang/bash.js
<s> [webpack.Progress] 69% building 710/720 modules 10 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/refractor/lang/js-extras.js
<s> [webpack.Progress] 69% building 710/721 modules 11 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/refractor/lang/graphql.js
<s> [webpack.Progress] 69% building 710/722 modules 12 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/refractor/lang/json.js
<s> [webpack.Progress] 68% building 710/723 modules 13 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/refractor/lang/markdown.js
<s> [webpack.Progress] 68% building 710/724 modules 14 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/refractor/lang/yaml.js
<s> [webpack.Progress] 68% building 710/725 modules 15 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/refractor/lang/markup.js
<s> [webpack.Progress] 68% building 710/726 modules 16 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/refractor/lang/typescript.js
<s> [webpack.Progress] 68% building 710/727 modules 17 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/refractor/lang/tsx.js
<s> [webpack.Progress] 68% building 710/728 modules 18 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/uuid/dist/esm-browser/md5.js
<s> [webpack.Progress] 68% building 711/728 modules 17 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/uuid/dist/esm-browser/md5.js
<s> [webpack.Progress] 68% building 712/728 modules 16 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/uuid/dist/esm-browser/md5.js
<s> [webpack.Progress] 68% building 712/729 modules 17 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/core-js/internals/get-iterator.js
<s> [webpack.Progress] 68% building 712/730 modules 18 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/@storybook/components/dist/controls/options/Radio.js
<s> [webpack.Progress] 68% building 712/731 modules 19 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/@storybook/components/dist/controls/options/Checkbox.js
<s> [webpack.Progress] 68% building 712/732 modules 20 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/uuid/dist/esm-browser/sha1.js
<s> [webpack.Progress] 68% building 712/733 modules 21 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/@babel/runtime/helpers/interopRequireDefault.js
<s> [webpack.Progress] 68% building 712/734 modules 22 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/@storybook/client-api/node_modules/qs/lib/index.js
<s> [webpack.Progress] 68% building 713/734 modules 21 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/@storybook/client-api/node_modules/qs/lib/index.js
<s> [webpack.Progress] 68% building 713/735 modules 22 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/react-syntax-highlighter/dist/cjs/highlight.js
<s> [webpack.Progress] 68% building 713/736 modules 23 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/lodash/_arrayMap.js
<s> [webpack.Progress] 68% building 714/736 modules 22 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/lodash/_arrayMap.js
<s> [webpack.Progress] 68% building 714/737 modules 23 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/lodash/_getAllKeysIn.js
<s> [webpack.Progress] 68% building 714/738 modules 24 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/lodash/_basePickBy.js
<s> [webpack.Progress] 67% building 714/739 modules 25 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/@babel/runtime/helpers/objectSpread.js
<s> [webpack.Progress] 68% building 715/739 modules 24 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/@babel/runtime/helpers/objectSpread.js
<s> [webpack.Progress] 67% building 715/740 modules 25 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/escodegen/escodegen.js
<s> [webpack.Progress] 67% building 715/741 modules 26 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/react-color/es/components/chrome/Chrome.js
<s> [webpack.Progress] 67% building 715/742 modules 27 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/@storybook/core/dist/client/index.js
<s> [webpack.Progress] 67% building 715/743 modules 28 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/react-popper/lib/esm/utils.js
<s> [webpack.Progress] 67% building 715/744 modules 29 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/lodash/_castSlice.js
<s> [webpack.Progress] 67% building 716/744 modules 28 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/lodash/_castSlice.js
<s> [webpack.Progress] 67% building 716/745 modules 29 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/lodash/toString.js
<s> [webpack.Progress] 67% building 716/746 modules 30 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/lodash/_asciiWords.js
<s> [webpack.Progress] 67% building 717/746 modules 29 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/lodash/_asciiWords.js
<s> [webpack.Progress] 67% building 718/746 modules 28 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/lodash/_asciiWords.js
<s> [webpack.Progress] 67% building 719/746 modules 27 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/lodash/_asciiWords.js
<s> [webpack.Progress] 67% building 720/746 modules 26 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/lodash/_asciiWords.js
<s> [webpack.Progress] 67% building 721/746 modules 25 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/lodash/_asciiWords.js
<s> [webpack.Progress] 68% building 722/746 modules 24 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/lodash/_asciiWords.js
<s> [webpack.Progress] 68% building 723/746 modules 23 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/lodash/_asciiWords.js
<s> [webpack.Progress] 68% building 724/746 modules 22 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/lodash/_asciiWords.js
<s> [webpack.Progress] 68% building 725/746 modules 21 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/lodash/_asciiWords.js
<s> [webpack.Progress] 68% building 726/746 modules 20 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/lodash/_asciiWords.js
<s> [webpack.Progress] 68% building 727/746 modules 19 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/lodash/_asciiWords.js
<s> [webpack.Progress] 68% building 728/746 modules 18 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/lodash/_asciiWords.js
<s> [webpack.Progress] 68% building 728/747 modules 19 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/lodash/_unicodeWords.js
<s> [webpack.Progress] 68% building 728/748 modules 20 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/@storybook/source-loader/dist/extract-source.js
<s> [webpack.Progress] 68% building 728/749 modules 21 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/lodash/_hasUnicodeWord.js
<s> [webpack.Progress] 68% building 728/750 modules 22 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/function.prototype.name/shim.js
<s> [webpack.Progress] 68% building 728/751 modules 23 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/lodash/_stringToArray.js
<s> [webpack.Progress] 68% building 728/752 modules 24 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/react-color/es/components/circle/Circle.js
<s> [webpack.Progress] 68% building 728/753 modules 25 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/lodash/_deburrLetter.js
<s> [webpack.Progress] 67% building 728/754 modules 26 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/react-color/es/components/block/Block.js
<s> [webpack.Progress] 68% building 729/754 modules 25 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/react-color/es/components/block/Block.js
<s> [webpack.Progress] 68% building 730/754 modules 24 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/react-color/es/components/block/Block.js
<s> [webpack.Progress] 68% building 731/754 modules 23 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/react-color/es/components/block/Block.js
<s> [webpack.Progress] 68% building 732/754 modules 22 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/react-color/es/components/block/Block.js
<s> [webpack.Progress] 68% building 732/755 modules 23 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/doctrine/lib/doctrine.js
<s> [webpack.Progress] 68% building 732/756 modules 24 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/lodash/_hasUnicode.js
<s> [webpack.Progress] 68% building 733/756 modules 23 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/lodash/_hasUnicode.js
<s> [webpack.Progress] 68% building 734/756 modules 22 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/lodash/_hasUnicode.js
<s> [webpack.Progress] 68% building 734/757 modules 23 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/refractor/core.js
<s> [webpack.Progress] 68% building 735/757 modules 22 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/refractor/core.js
<s> [webpack.Progress] 68% building 736/757 modules 21 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/refractor/core.js
<s> [webpack.Progress] 68% building 737/757 modules 20 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/refractor/core.js
<s> [webpack.Progress] 68% building 738/757 modules 19 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/refractor/core.js
<s> [webpack.Progress] 68% building 739/757 modules 18 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/refractor/core.js
<s> [webpack.Progress] 68% building 740/757 modules 17 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/refractor/core.js
<s> [webpack.Progress] 68% building 741/757 modules 16 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/refractor/core.js
<s> [webpack.Progress] 68% building 742/757 modules 15 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/refractor/core.js
<s> [webpack.Progress] 68% building 742/758 modules 16 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/@storybook/addon-docs/dist/lib/docgen/flow/createDefaultValue.js
<s> [webpack.Progress] 68% building 742/759 modules 17 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/@storybook/addon-docs/dist/lib/docgen/flow/createType.js
<s> [webpack.Progress] 68% building 743/759 modules 16 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/@storybook/addon-docs/dist/lib/docgen/flow/createType.js
<s> [webpack.Progress] 68% building 744/759 modules 15 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/@storybook/addon-docs/dist/lib/docgen/flow/createType.js
<s> [webpack.Progress] 68% building 745/759 modules 14 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/@storybook/addon-docs/dist/lib/docgen/flow/createType.js
<s> [webpack.Progress] 68% building 746/759 modules 13 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/@storybook/addon-docs/dist/lib/docgen/flow/createType.js
<s> [webpack.Progress] 68% building 746/760 modules 14 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/@storybook/addon-docs/dist/lib/convert/index.js
<s> [webpack.Progress] 68% building 746/761 modules 15 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/@storybook/addon-docs/dist/lib/docgen/typeScript/createDefaultValue.js
<s> [webpack.Progress] 68% building 747/761 modules 14 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/@storybook/addon-docs/dist/lib/docgen/typeScript/createDefaultValue.js
<s> [webpack.Progress] 68% building 748/761 modules 13 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/@storybook/addon-docs/dist/lib/docgen/typeScript/createDefaultValue.js
<s> [webpack.Progress] 69% building 749/761 modules 12 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/@storybook/addon-docs/dist/lib/docgen/typeScript/createDefaultValue.js
<s> [webpack.Progress] 69% building 750/761 modules 11 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/@storybook/addon-docs/dist/lib/docgen/typeScript/createDefaultValue.js
<s> [webpack.Progress] 69% building 751/761 modules 10 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/@storybook/addon-docs/dist/lib/docgen/typeScript/createDefaultValue.js
<s> [webpack.Progress] 69% building 752/761 modules 9 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/@storybook/addon-docs/dist/lib/docgen/typeScript/createDefaultValue.js
<s> [webpack.Progress] 69% building 752/762 modules 10 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/@storybook/addon-docs/dist/lib/docgen/typeScript/createType.js
<s> [webpack.Progress] 69% building 753/762 modules 9 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/@storybook/addon-docs/dist/lib/docgen/typeScript/createType.js
<s> [webpack.Progress] 69% building 754/762 modules 8 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/@storybook/addon-docs/dist/lib/docgen/typeScript/createType.js
<s> [webpack.Progress] 69% building 754/763 modules 9 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/@storybook/components/dist/controls/options/helpers.js
<s> [webpack.Progress] 69% building 755/763 modules 8 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/@storybook/components/dist/controls/options/helpers.js
<s> [webpack.Progress] 69% building 756/763 modules 7 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/@storybook/components/dist/controls/options/helpers.js
<s> [webpack.Progress] 69% building 756/764 modules 8 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/@storybook/components/dist/blocks/ArgsTable/ArgControl.js
<s> [webpack.Progress] 69% building 756/765 modules 9 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/react-color/es/components/alpha/AlphaPointer.js
<s> [webpack.Progress] 69% building 756/766 modules 10 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/react-color/es/components/google/GoogleFields.js
<s> [webpack.Progress] 69% building 756/767 modules 11 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/react-color/es/components/slider/SliderPointer.js
<s> [webpack.Progress] 69% building 756/768 modules 12 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/react-color/es/components/swatches/SwatchesGroup.js
<s> [webpack.Progress] 68% building 756/769 modules 13 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/react-color/es/components/sketch/SketchPresetColors.js
<s> [webpack.Progress] 68% building 756/770 modules 14 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/react-color/es/components/photoshop/PhotoshopPreviews.js
<s> [webpack.Progress] 68% building 756/771 modules 15 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/react-color/es/components/hue/HuePointer.js
<s> [webpack.Progress] 68% building 756/772 modules 16 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/react-color/es/components/github/GithubSwatch.js
<s> [webpack.Progress] 68% building 756/773 modules 17 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/react-color/es/components/compact/CompactFields.js
<s> [webpack.Progress] 68% building 757/773 modules 16 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/react-color/es/components/compact/CompactFields.js
<s> [webpack.Progress] 68% building 757/774 modules 17 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/react-color/es/components/compact/CompactColor.js
<s> [webpack.Progress] 68% building 757/775 modules 18 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/html-tags/index.js
<s> [webpack.Progress] 68% building 758/775 modules 17 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/html-tags/index.js
<s> [webpack.Progress] 68% building 759/775 modules 16 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/html-tags/index.js
<s> [webpack.Progress] 68% building 759/776 modules 17 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/lodash/pick.js
<s> [webpack.Progress] 68% building 759/777 modules 18 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/react-color/es/helpers/color.js
<s> [webpack.Progress] 68% building 760/777 modules 17 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/react-color/es/helpers/color.js
<s> [webpack.Progress] 68% building 761/777 modules 16 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/react-color/es/helpers/color.js
<s> [webpack.Progress] 68% building 762/777 modules 15 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/react-color/es/helpers/color.js
<s> [webpack.Progress] 68% building 763/777 modules 14 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/react-color/es/helpers/color.js
<s> [webpack.Progress] 68% building 763/778 modules 15 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/airbnb-js-shims/target/es2017.js
<s> [webpack.Progress] 68% building 763/779 modules 16 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/react-color/es/components/photoshop/PhotoshopButton.js
<s> [webpack.Progress] 68% building 764/779 modules 15 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/react-color/es/components/photoshop/PhotoshopButton.js
<s> [webpack.Progress] 68% building 765/779 modules 14 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/react-color/es/components/photoshop/PhotoshopButton.js
<s> [webpack.Progress] 68% building 766/779 modules 13 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/react-color/es/components/photoshop/PhotoshopButton.js
